"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","Standard User can complete a full purchase journey","firefox","Wed Apr 22 07:36:54 UTC 2026","failed","Wed Apr 22 07:36:54 UTC 2026","","saucedemo.spec.ts","",""
"","3","Hybrid Test: Verify Product via API then check UI","chromium","Wed Apr 22 07:36:25 UTC 2026","failed","Wed Apr 22 07:36:25 UTC 2026","","hybrid_check.spec.ts","",""
"","37054","get started link","webkit","Wed Apr 22 06:50:46 UTC 2026","broken","Wed Apr 22 06:51:23 UTC 2026","","example.spec.ts","",""
"","32","Should be able to fetch a list of posts via API","chromium","Wed Apr 22 07:36:20 UTC 2026","passed","Wed Apr 22 07:36:21 UTC 2026","","api_example.spec.ts","",""
"","4831","get started link","chromium","Wed Apr 22 06:49:11 UTC 2026","passed","Wed Apr 22 06:49:16 UTC 2026","","example.spec.ts","",""
"","3","Login Test for: Problem User","firefox","Wed Apr 22 07:36:50 UTC 2026","failed","Wed Apr 22 07:36:50 UTC 2026","","saucedemo.spec.ts","",""
"","30","Should be able to fetch a list of posts via API","webkit","Wed Apr 22 07:36:57 UTC 2026","passed","Wed Apr 22 07:36:57 UTC 2026","","api_example.spec.ts","",""
"","477","API Request Chaining: Create and then Fetch a post","chromium","Wed Apr 22 07:36:20 UTC 2026","passed","Wed Apr 22 07:36:20 UTC 2026","","api_chaining.spec.ts","",""
"","4","Homepage Visual Comparison","webkit","Wed Apr 22 07:37:14 UTC 2026","failed","Wed Apr 22 07:37:14 UTC 2026","","visual.spec.ts","",""
"","3","Standard User can add a product to cart","webkit","Wed Apr 22 07:37:10 UTC 2026","failed","Wed Apr 22 07:37:10 UTC 2026","","saucedemo.spec.ts","",""
"","3","Homepage Visual Comparison","firefox","Wed Apr 22 07:36:56 UTC 2026","failed","Wed Apr 22 07:36:56 UTC 2026","","visual.spec.ts","",""
"","3","Standard User can add a product to cart","firefox","Wed Apr 22 07:36:52 UTC 2026","failed","Wed Apr 22 07:36:52 UTC 2026","","saucedemo.spec.ts","",""
"","4","Login Test for: Standard User","firefox","Wed Apr 22 07:36:45 UTC 2026","failed","Wed Apr 22 07:36:45 UTC 2026","","saucedemo.spec.ts","",""
"","4","Login Test for: Problem User","chromium","Wed Apr 22 07:36:31 UTC 2026","failed","Wed Apr 22 07:36:31 UTC 2026","","saucedemo.spec.ts","",""
"","3","Login Test for: Locked Out User","chromium","Wed Apr 22 07:36:29 UTC 2026","failed","Wed Apr 22 07:36:29 UTC 2026","","saucedemo.spec.ts","",""
