"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16164","has title","firefox","Tue Apr 21 12:32:10 UTC 2026","passed","Tue Apr 21 12:32:26 UTC 2026","","example.spec.ts","",""
"","375","Should be able to fetch a list of posts via API","firefox","Tue Apr 21 12:32:10 UTC 2026","passed","Tue Apr 21 12:32:10 UTC 2026","","api_example.spec.ts","",""
"","8156","Hybrid Test: Verify Product via API then check UI","webkit","Tue Apr 21 12:33:25 UTC 2026","passed","Tue Apr 21 12:33:33 UTC 2026","","hybrid_check.spec.ts","",""
"","522","Should be able to fetch a list of posts via API","chromium","Tue Apr 21 12:31:39 UTC 2026","passed","Tue Apr 21 12:31:39 UTC 2026","","api_example.spec.ts","",""
"","4806","get started link","chromium","Tue Apr 21 12:31:48 UTC 2026","passed","Tue Apr 21 12:31:53 UTC 2026","","example.spec.ts","",""
"","7740","Login Test for: Standard User","webkit","Tue Apr 21 12:33:28 UTC 2026","passed","Tue Apr 21 12:33:36 UTC 2026","","saucedemo.spec.ts","",""
"","7089","Login Test for: Problem User","chromium","Tue Apr 21 12:31:58 UTC 2026","passed","Tue Apr 21 12:32:05 UTC 2026","","saucedemo.spec.ts","",""
"","5131","Hybrid Test: Verify Product via API then check UI","chromium","Tue Apr 21 12:31:49 UTC 2026","passed","Tue Apr 21 12:31:55 UTC 2026","","hybrid_check.spec.ts","",""
"","15421","Purchase journey with random user data","webkit","Tue Apr 21 12:33:08 UTC 2026","passed","Tue Apr 21 12:33:24 UTC 2026","","dynamic_data.spec.ts","",""
"","6953","Standard User can add a product to cart","firefox","Tue Apr 21 12:32:50 UTC 2026","passed","Tue Apr 21 12:32:57 UTC 2026","","saucedemo.spec.ts","",""
"","772","API Request Chaining: Create and then Fetch a post","webkit","Tue Apr 21 12:33:07 UTC 2026","passed","Tue Apr 21 12:33:07 UTC 2026","","api_chaining.spec.ts","",""
